,AgeInDays,BlastFurnaceSlag,CementComponent,SuperplasticizerComponent,WaterComponent
632,3.0,133.0,200.0,0.0,192.0
633,28.0,162.4,108.3,0.0,203.5
634,7.0,203.5,305.3,0.0,203.5
635,90.0,162.4,108.3,0.0,203.5
636,90.0,173.0,116.0,0.0,192.0
637,7.0,212.0,141.3,0.0,203.5
638,28.0,236.0,157.0,0.0,192.0
639,28.0,200.0,133.0,0.0,192.0
640,7.0,166.8,250.2,0.0,203.5
641,7.0,116.0,173.0,0.0,192.0
642,3.0,288.0,192.0,0.0,192.0
643,28.0,288.0,192.0,0.0,192.0
644,3.0,102.0,153.0,0.0,192.0
645,3.0,192.0,288.0,0.0,192.0
646,28.0,203.5,305.3,0.0,203.5
647,7.0,157.0,236.0,0.0,192.0
648,3.0,116.0,173.0,0.0,192.0
649,7.0,141.3,212.0,0.0,203.5
650,3.0,157.0,236.0,0.0,192.0
651,90.0,122.6,183.9,0.0,203.5
652,7.0,250.2,166.8,0.0,203.5
653,7.0,153.0,102.0,0.0,192.0
654,28.0,192.0,288.0,0.0,192.0
655,28.0,141.3,212.0,0.0,203.5
656,28.0,153.0,102.0,0.0,192.0
657,28.0,116.0,173.0,0.0,192.0
658,28.0,122.6,183.9,0.0,203.5
659,90.0,200.0,133.0,0.0,192.0
660,90.0,288.0,192.0,0.0,192.0
661,7.0,200.0,133.0,0.0,192.0
662,3.0,203.5,305.3,0.0,203.5
663,90.0,157.0,236.0,0.0,192.0
664,3.0,162.4,108.3,0.0,203.5
665,7.0,236.0,157.0,0.0,192.0
666,7.0,192.0,288.0,0.0,192.0
667,3.0,141.3,212.0,0.0,203.5
668,90.0,141.3,212.0,0.0,203.5
669,28.0,102.0,153.0,0.0,192.0
670,28.0,157.0,236.0,0.0,192.0
671,28.0,173.0,116.0,0.0,192.0
672,7.0,122.6,183.9,0.0,203.5
673,7.0,162.4,108.3,0.0,203.5
674,28.0,305.3,203.5,0.0,203.5
675,3.0,305.3,203.5,0.0,203.5
676,3.0,200.0,133.0,0.0,192.0
677,90.0,192.0,288.0,0.0,192.0
678,7.0,133.0,200.0,0.0,192.0
679,28.0,133.0,200.0,0.0,192.0
680,3.0,166.8,250.2,0.0,203.5
681,3.0,183.9,122.6,0.0,203.5
682,90.0,102.0,153.0,0.0,192.0
683,90.0,133.0,200.0,0.0,192.0
684,3.0,173.0,116.0,0.0,192.0
685,90.0,116.0,173.0,0.0,192.0
686,28.0,166.8,250.2,0.0,203.5
687,90.0,203.5,305.3,0.0,203.5
688,7.0,288.0,192.0,0.0,192.0
689,3.0,236.0,157.0,0.0,192.0
690,7.0,102.0,153.0,0.0,192.0
691,90.0,212.0,141.3,0.0,203.5
692,7.0,173.0,116.0,0.0,192.0
693,3.0,212.0,141.3,0.0,203.5
694,7.0,183.9,122.6,0.0,203.5
695,90.0,250.2,166.8,0.0,203.5
696,90.0,305.3,203.5,0.0,203.5
697,3.0,0.0,310.0,0.0,192.0
698,7.0,0.0,310.0,0.0,192.0
699,28.0,0.0,310.0,0.0,192.0
700,90.0,0.0,310.0,0.0,192.0
701,120.0,0.0,310.0,0.0,192.0
702,3.0,0.0,331.0,0.0,192.0
703,7.0,0.0,331.0,0.0,192.0
704,28.0,0.0,331.0,0.0,192.0
705,90.0,0.0,331.0,0.0,192.0
706,120.0,0.0,331.0,0.0,192.0
707,3.0,0.0,349.0,0.0,192.0
708,7.0,0.0,349.0,0.0,192.0
709,28.0,0.0,349.0,0.0,192.0
710,90.0,0.0,349.0,0.0,192.0
711,120.0,0.0,349.0,0.0,192.0
712,7.0,0.0,238.0,0.0,186.0
713,28.0,0.0,238.0,0.0,186.0
714,7.0,0.0,296.0,0.0,186.0
715,28.0,0.0,296.0,0.0,186.0
716,7.0,0.0,297.0,0.0,186.0
717,28.0,0.0,480.0,0.0,192.0
718,90.0,0.0,480.0,0.0,192.0
719,28.0,0.0,397.0,0.0,186.0
720,7.0,0.0,281.0,0.0,186.0
721,28.0,0.0,281.0,0.0,185.0
722,1.0,0.0,500.0,0.0,200.0
723,3.0,0.0,500.0,0.0,200.0
724,7.0,0.0,500.0,0.0,200.0
725,14.0,0.0,500.0,0.0,200.0
726,28.0,0.0,500.0,0.0,200.0
727,7.0,0.0,540.0,0.0,173.0
728,14.0,0.0,540.0,0.0,173.0
729,28.0,0.0,540.0,0.0,173.0
730,90.0,0.0,540.0,0.0,173.0
731,28.0,0.0,540.0,0.0,173.0
732,28.0,0.0,540.0,0.0,173.0
733,7.0,0.0,350.0,0.0,203.0
734,14.0,0.0,350.0,0.0,203.0
735,28.0,0.0,350.0,0.0,203.0
736,56.0,0.0,350.0,0.0,203.0
737,90.0,0.0,350.0,0.0,203.0
738,28.0,0.0,350.0,0.0,203.0
739,1.0,0.0,385.0,0.0,186.0
740,3.0,0.0,385.0,0.0,186.0
741,7.0,0.0,385.0,0.0,186.0
742,14.0,0.0,385.0,0.0,186.0
743,28.0,0.0,385.0,0.0,186.0
744,28.0,0.0,331.0,0.0,192.0
745,28.0,0.0,331.0,0.0,192.0
746,3.0,0.0,349.0,0.0,192.0
747,3.0,0.0,331.0,0.0,192.0
748,7.0,0.0,382.0,0.0,186.0
749,28.0,0.0,382.0,0.0,186.0
750,7.0,0.0,382.0,0.0,186.0
751,28.0,0.0,281.0,0.0,186.0
752,7.0,0.0,339.0,0.0,185.0
753,28.0,0.0,339.0,0.0,185.0
754,7.0,0.0,295.0,0.0,185.0
755,28.0,0.0,295.0,0.0,185.0
756,28.0,0.0,238.0,0.0,185.0
757,7.0,0.0,296.0,0.0,192.0
758,28.0,0.0,296.0,0.0,192.0
759,90.0,0.0,296.0,0.0,192.0
760,7.0,0.0,331.0,0.0,192.0
761,28.0,0.0,331.0,0.0,192.0
762,90.0,0.0,331.0,0.0,192.0
763,7.0,0.0,349.0,0.0,192.0
764,28.0,0.0,349.0,0.0,192.0
765,90.0,0.0,349.0,0.0,192.0
766,28.0,0.0,349.0,0.0,192.0
767,28.0,0.0,349.0,0.0,192.0
768,14.0,0.0,302.0,0.0,203.0
769,28.0,0.0,302.0,0.0,203.0
770,28.0,0.0,525.0,0.0,189.0
771,90.0,0.0,500.0,0.0,200.0
772,28.0,0.0,500.0,0.0,200.0
773,28.0,0.0,500.0,0.0,200.0
774,3.0,0.0,540.0,0.0,173.0
775,7.0,0.0,252.0,0.0,185.0
776,28.0,0.0,252.0,0.0,185.0
777,28.0,0.0,339.0,0.0,185.0
778,3.0,0.0,393.0,0.0,192.0
779,28.0,0.0,393.0,0.0,192.0
780,90.0,0.0,393.0,0.0,192.0
781,7.0,0.0,382.0,0.0,185.0
782,28.0,0.0,382.0,0.0,185.0
783,7.0,0.0,252.0,0.0,186.0
784,7.0,0.0,310.0,0.0,192.0
785,28.0,0.0,310.0,0.0,192.0
786,90.0,0.0,310.0,0.0,192.0
787,28.0,0.0,310.0,0.0,192.0
788,28.0,0.0,310.0,0.0,192.0
789,3.0,0.0,525.0,0.0,189.0
790,7.0,0.0,525.0,0.0,189.0
791,14.0,0.0,525.0,0.0,189.0
792,28.0,0.0,525.0,0.0,189.0
793,90.0,0.0,525.0,0.0,189.0
794,28.0,0.0,525.0,0.0,189.0
795,14.0,0.0,322.0,0.0,203.0
796,28.0,0.0,322.0,0.0,203.0
797,28.0,0.0,322.0,0.0,203.0
798,28.0,0.0,302.0,0.0,203.0
799,28.0,0.0,397.0,0.0,185.0
800,3.0,0.0,480.0,0.0,192.0
801,7.0,0.0,522.0,0.0,146.0
802,28.0,0.0,522.0,0.0,146.0
803,28.0,105.0,273.0,9.0,210.0
804,28.0,190.0,162.0,19.0,179.0
805,28.0,144.0,154.0,10.0,220.0
806,28.0,115.0,147.0,9.0,202.0
807,28.0,178.0,152.0,18.0,168.0
808,28.0,143.0,310.0,22.0,168.0
809,28.0,0.0,144.0,18.0,158.0
810,28.0,140.0,304.0,6.0,214.0
811,28.0,0.0,374.0,7.0,190.0
812,28.0,149.0,159.0,15.0,175.0
813,28.0,239.0,153.0,6.0,200.0
814,28.0,143.0,310.0,10.0,168.0
815,28.0,0.0,305.0,10.0,196.0
816,28.0,0.0,151.0,12.0,167.0
817,28.0,167.0,142.0,11.0,174.0
818,28.0,137.0,298.0,6.0,201.0
819,28.0,164.0,321.0,5.0,190.0
820,28.0,187.0,366.0,7.0,191.0
821,28.0,129.0,280.0,9.0,172.0
822,28.0,97.0,252.0,8.0,194.0
823,28.0,0.0,165.0,12.0,182.0
824,28.0,243.0,156.0,11.0,180.0
825,28.0,188.0,160.0,11.0,203.0
826,28.0,0.0,298.0,6.0,186.0
827,28.0,0.0,318.0,6.0,210.0
828,28.0,121.0,287.0,9.0,188.0
829,28.0,166.0,326.0,9.0,174.0
830,28.0,0.0,356.0,11.0,193.0
831,28.0,207.0,132.0,5.0,179.0
832,28.0,149.0,322.0,8.0,186.0
833,28.0,0.0,164.0,13.0,181.0
834,28.0,0.0,314.0,10.0,170.0
835,28.0,0.0,321.0,11.0,182.0
836,28.0,164.0,140.0,6.0,185.7
837,28.0,121.0,288.0,7.0,177.0
838,28.0,0.0,298.0,11.0,210.0
839,28.0,111.0,265.0,6.0,195.0
840,28.0,250.0,160.0,12.0,168.0
841,28.0,260.0,166.0,13.0,183.0
842,28.0,116.0,276.0,9.0,180.0
843,28.0,0.0,322.0,10.0,196.0
844,28.0,139.0,149.0,6.0,193.0
845,28.0,187.0,159.0,11.0,176.0
846,28.0,100.0,261.0,9.0,201.0
847,28.0,92.0,237.0,6.0,185.7
848,28.0,0.0,313.0,8.0,178.0
849,28.0,183.0,155.0,9.0,193.0
850,28.0,230.0,146.0,3.0,202.0
851,28.0,0.0,296.0,11.0,221.0
852,28.0,210.0,133.0,3.0,196.0
853,28.0,145.0,313.0,8.0,178.0
854,28.0,0.0,152.0,8.0,184.0
855,28.0,145.0,153.0,8.0,178.0
856,28.0,133.0,140.0,7.0,200.0
857,28.0,236.0,149.0,13.0,176.0
858,28.0,0.0,300.0,10.0,212.0
859,28.0,145.0,153.0,8.0,178.0
860,28.0,0.0,148.0,16.0,158.0
861,28.0,0.0,326.0,11.0,199.0
862,28.0,145.0,153.0,8.0,178.0
863,28.0,111.0,262.0,5.0,195.0
864,28.0,0.0,158.0,11.0,220.0
865,28.0,0.0,151.0,16.0,167.0
866,28.0,0.0,273.0,11.0,199.0
867,28.0,118.0,149.0,7.0,183.0
868,28.0,169.0,143.0,8.0,191.0
869,28.0,101.0,260.0,10.0,171.0
870,28.0,161.0,313.0,10.0,178.0
871,28.0,120.0,284.0,7.0,168.0
872,28.0,0.0,336.0,3.0,182.0
873,28.0,0.0,145.0,11.0,181.0
874,28.0,237.0,150.0,12.0,174.0
875,28.0,170.0,144.0,8.0,192.0
876,28.0,170.0,331.0,8.0,195.0
877,28.0,0.0,155.0,9.0,193.0
878,28.0,183.0,155.0,9.0,193.0
879,28.0,0.0,135.0,10.0,180.0
880,28.0,112.0,266.0,10.0,178.0
881,28.0,145.0,314.0,8.0,179.0
882,28.0,145.0,313.0,8.0,185.7
883,28.0,173.0,146.0,3.0,182.0
884,28.0,136.0,144.0,7.0,178.0
885,28.0,0.0,148.0,15.0,181.0
886,28.0,117.0,277.0,7.0,191.0
887,28.0,0.0,298.0,13.0,164.0
888,28.0,145.0,313.0,8.0,178.0
889,28.0,184.0,155.0,9.0,194.0
890,28.0,134.0,289.0,6.0,195.0
891,28.0,175.0,148.0,2.0,171.0
892,28.0,0.0,145.0,8.0,202.0
893,28.0,0.0,313.0,8.0,178.0
894,28.0,162.0,136.0,10.0,172.0
895,28.0,0.0,155.0,9.0,193.0
896,28.0,99.0,255.0,6.0,189.0
897,28.0,207.0,162.0,10.0,216.0
898,28.0,196.0,136.0,6.0,199.0
899,28.0,163.0,164.0,8.0,197.0
900,28.0,214.0,162.0,10.0,202.0
901,28.0,214.0,157.0,9.0,200.0
902,28.0,153.0,149.0,8.0,192.0
903,28.0,105.0,135.0,6.0,196.0
904,28.0,209.0,159.0,7.0,201.0
905,28.0,15.0,144.0,6.0,176.0
906,28.0,174.0,154.0,7.0,228.0
907,28.0,187.0,167.0,7.0,185.0
908,28.0,86.0,184.0,6.0,213.0
909,28.0,178.0,156.0,7.0,221.0
910,28.0,91.7,236.9,6.0,185.7
911,28.0,0.0,313.3,8.0,178.5
912,28.0,183.4,154.8,9.1,193.3
913,28.0,230.5,145.9,3.4,202.5
914,28.0,0.0,296.0,10.5,221.4
915,28.0,210.2,133.1,3.1,195.7
916,28.0,145.0,313.3,8.0,178.5
917,28.0,0.0,151.6,7.9,184.4
918,28.0,145.0,153.1,8.0,178.5
919,28.0,132.6,139.9,7.4,200.3
920,28.0,236.0,149.5,12.6,175.8
921,28.0,0.0,299.8,9.9,211.5
922,28.0,145.0,153.1,8.0,178.5
923,28.0,0.0,148.1,16.1,158.1
924,28.0,0.0,326.5,10.8,199.0
925,28.0,144.7,152.7,8.0,178.1
926,28.0,110.5,261.9,5.0,195.4
927,28.0,0.0,158.4,11.0,219.7
928,28.0,0.0,150.7,15.6,166.7
929,28.0,0.0,272.6,10.6,198.7
930,28.0,117.6,149.0,7.1,182.9
931,28.0,169.4,143.0,8.4,190.7
932,28.0,100.6,259.9,10.4,170.6
933,28.0,160.5,312.9,9.6,177.6
934,28.0,119.7,284.0,7.2,168.3
935,28.0,0.0,336.5,3.4,181.9
936,28.0,0.0,144.8,11.1,180.8
937,28.0,236.8,150.0,11.9,173.8
938,28.0,170.2,143.7,8.5,191.6
939,28.0,169.6,330.5,8.1,194.9
940,28.0,0.0,154.8,9.1,193.3
941,28.0,183.4,154.8,9.1,193.3
942,28.0,0.0,134.7,10.0,180.2
943,28.0,112.3,266.2,10.4,177.9
944,28.0,145.3,314.0,8.0,178.9
945,28.0,144.7,312.7,8.0,127.3
946,28.0,172.6,145.7,3.4,181.9
947,28.0,136.3,143.8,7.5,178.1
948,28.0,0.0,148.1,15.0,181.4
949,28.0,116.8,277.0,7.0,190.6
950,28.0,0.0,298.1,12.8,163.6
951,28.0,145.0,313.3,8.0,178.5
952,28.0,183.9,155.2,9.2,193.8
953,28.0,133.7,289.0,5.5,194.9
954,28.0,175.1,147.8,2.2,171.2
955,28.0,0.0,145.4,7.8,201.7
956,28.0,0.0,312.7,8.0,178.1
957,28.0,161.6,136.4,10.4,171.6
958,28.0,0.0,154.8,9.1,193.3
959,28.0,98.8,255.3,6.5,188.6
960,28.0,105.1,272.8,9.0,209.7
961,28.0,190.1,162.0,18.8,178.8
962,28.0,144.2,153.6,10.1,220.1
963,28.0,114.6,146.5,8.8,201.9
964,28.0,178.1,151.8,18.3,167.5
965,28.0,142.8,309.9,22.1,167.8
966,28.0,0.0,143.6,17.9,158.4
967,28.0,139.9,303.6,6.2,213.5
968,28.0,0.0,374.3,6.7,190.2
969,28.0,148.9,158.6,15.0,175.1
970,28.0,238.7,152.6,6.3,200.0
971,28.0,142.8,310.0,10.0,167.9
972,28.0,0.0,304.8,9.8,196.0
973,28.0,0.0,150.9,11.6,166.6
974,28.0,166.6,141.9,10.9,173.5
975,28.0,137.2,297.8,6.0,201.3
976,28.0,164.2,321.3,4.6,190.5
977,28.0,187.0,366.0,6.6,191.3
978,28.0,128.9,279.8,9.5,172.4
979,28.0,97.1,252.1,8.3,193.8
980,28.0,0.0,164.6,11.7,181.6
981,28.0,243.5,155.6,10.7,180.3
982,28.0,188.0,160.2,11.3,203.2
983,28.0,0.0,298.1,6.1,186.4
984,28.0,0.0,317.9,5.7,209.7
985,28.0,120.5,287.3,9.2,187.6
986,28.0,166.4,325.6,8.9,174.0
987,28.0,0.0,355.9,11.0,193.3
988,28.0,206.5,132.0,5.5,178.9
989,28.0,148.6,322.5,8.5,185.8
990,28.0,0.0,164.2,12.6,181.2
991,28.0,0.0,313.8,10.1,169.9
992,28.0,0.0,321.4,11.5,182.5
993,28.0,163.9,139.7,5.8,185.7
994,28.0,121.0,288.4,7.0,177.4
995,28.0,0.0,298.2,11.1,209.7
996,28.0,111.0,264.5,5.9,195.5
997,28.0,250.0,159.8,12.2,168.4
998,28.0,259.7,166.0,12.7,183.2
999,28.0,116.0,276.4,8.9,179.6
1000,28.0,0.0,322.2,10.4,196.0
1001,28.0,139.4,148.5,6.1,192.7
1002,28.0,186.7,159.1,11.3,175.6
1003,28.0,100.5,260.9,8.6,200.6
